"id","이름_한글","이름_영문","도수구간","최소도수","최대도수","스타일","베이스","맛단계","잔","계절","재료_원문","재료_목록","맛","분위기","제조단계수","제조순서","제조단계_출처","추천수","어려워요수","북마크수","유래","이미지_URL","잔이미지_URL","등록일","수정일","v2_bases","v2_abv","v2_abvBand","taste_sweet","taste_sour","taste_bitter","taste_boozy","taste_body","taste_fizz","flavor_citrus","flavor_tropical","flavor_berry_red","flavor_stone_orchard","flavor_herbal","flavor_mint","flavor_floral","flavor_spice","flavor_coffee_choco","flavor_creamy_nutty","flavor_oak_caramel","flavor_smoky","flavor_anise","flavor_savory","occasion_aperitif","occasion_with_meal","occasion_dessert","occasion_party","occasion_refresh","occasion_slow_sip","occasion_brunch","approachability","familiarity","complexity","polarizing","serve","allergens","recipeStatus","source","유래_출처","recipeSourceUrl","diffords_대조"
"374","니콜라슈카","Nikolaschka","강함","37","39","스트롱","브랜디","","샷 글라스","가을","코냑 1샷 45ml (1½ oz), 레몬 슬라이스, 설탕 1 tsp, 커피 가루 적당량","","달콤, 강한, 시트러스, 오크·캐러멜","디저트, 파티","2","1. 샷 글라스에 코냑 1샷 45ml (1½ oz), 설탕 1 tsp, 커피 가루 적당량을 따른다. / 2. 레몬 슬라이스로 가니시한다.","AUTO","0","0","0","독일에서 전해지는 코냑 샷 음용법. 설탕과 커피 가루를 얹은 레몬 슬라이스를 씹은 뒤 코냑을 마심.
창시자나 이름의 유래에 대한 확실한 기록은 없음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Nikolaschka.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy","38","3","4","2","0","5","1","0","4","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","2","2","0","0","0","2","1","3","0","shot","","verified","image_old","https://www.tasteatlas.com/nikolaschka/recipe","","디포즈 미수록 (onz 오리지널)"
"375","오악사칸 올드 패션드","Oaxacan Old Fashioned","강함","27","29","스트롱","테킬라","","록스","가을","레포사도 테킬라 45ml (1½ oz), 메즈칼 15ml (½ oz), 아가베 시럽 7.5ml (¼ oz), 코코아 비터스 4 drops","","달콤, 강한, 묵직한, 스모키, 오크·캐러멜","천천히 음미","4","1. 믹싱 글라스에 얼음과 레포사도 테킬라 45ml (1½ oz), 메즈칼 15ml (½ oz), 아가베 시럽 7.5ml (¼ oz), 코코아 비터스 4 drops를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 큰 얼음을 넣은 록스 잔에 걸러 따른다. / 4. 플램드 오렌지 필로 가니시한다.","MANUAL","0","0","0","2007년 뉴욕 맨해튼의 바 데스 앤 코(Death & Co)에서 바텐더 필 워드가 단골손님을 위해 즉석에서 만듦.
이름은 바 주인 데이비드 캐플런이 붙였고, 레포사도 테킬라와 메즈칼을 쓴 현대 클래식이 됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Oaxacan_Old_Fashioned.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","tequila|mezcal","28","3","3","0","2","5","4","0","0","0","0","0","0","0","0","2","0","0","3","5","0","0","0","0","0","0","0","3","0","1","3","5","0","rocks","","verified","image_old","https://punchdrink.com/articles/oaxaca-old-fashioned-became-modern-classic-mezcal-cocktail-recipe/","https://www.diffordsguide.com/cocktails/recipe/3003/oaxaca-old-fashioned","디포즈 가이드 반영"
"376","오키나와 선셋","Okinawa Sunset","보통","11","13","스탠다드","기타","","쿠페","여름","아와모리 45ml (1½ oz), 파인애플 주스 30ml (1 oz), 시콰사 주스 30ml (1 oz), 그레나딘 10ml (⅓ oz)","","달콤, 상큼, 열대과일, 시트러스","상쾌한","3","1. 셰이커에 얼음과 아와모리 45ml (1½ oz), 파인애플 주스 30ml (1 oz), 시콰사 주스 30ml (1 oz), 그레나딘 10ml (⅓ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다. / 3. 레몬 필로 가니시한다.","AUTO","0","0","0","오키나와의 노을빛을 그러데이션으로 표현한 onz 오리지널 칵테일.
아와모리, 파인애플 주스, 시콰사 주스를 써서 진한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Okinawa_Sunset.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","other","12","1","4","3","0","1","2","0","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","1","1","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"377","오미자 피즈","Omija Fizz","약함","7","9","라이트","소주","","쿠페","여름","소주 45ml (1½ oz), 오미자청 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 계란 흰자 1개분, 탄산수 적당량(약 90ml)","","달콤, 상큼, 탄산, 베리, 시트러스","상쾌한, 파티","5","1. 셰이커에 소주 45ml (1½ oz), 오미자청 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 계란 흰자 1개분을 넣고 얼음 없이 10초간 드라이 셰이킹한다. / 2. 얼음을 넣고 15초간 다시 강하게 셰이킹한다. / 3. 차갑게 식힌 쿠페에 걸러 따른다. / 4. 탄산수 적당량(약 90ml)로 채운다. / 5. 레몬 필로 가니시한다.","AUTO","0","0","0","탄산을 더해 길게 마시는 onz 오리지널 칵테일.
소주, 오미자청, 레몬 주스를 써서 톡 쏘는 탄산, 진한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Omija_Fizz.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","soju","8","1","4","4","0","1","2","4","3","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","3","0","0","5","2","2","0","up","egg","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"378","오렌지 블로섬","Orange Blossom","보통","14","16","스탠다드","진","","쿠페","사계절","진 45ml (1½ oz), 오렌지 주스 45ml (1½ oz), 그레나딘 7.5ml (¼ oz)","","달콤, 시트러스","브런치","4","1. 믹싱 글라스에 얼음과 진 45ml (1½ oz), 오렌지 주스 45ml (1½ oz), 그레나딘 7.5ml (¼ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 차갑게 식힌 쿠페 잔에 걸러 따른다. / 4. 오렌지 필로 가니시한다.","MANUAL","0","0","0","금주법 시대에 유행한 칵테일로, 1932년 로버트 베르메르의 『Cocktails: How to Mix Them』에 '피츠버그의 멀로이'가 만든 것으로 처음 기록됨.
쿠바 아바나의 슬로피 조스와 엘 플로리디타 같은 바에서도 미국인 손님들에게 인기가 많았음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Orange_Blossom.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","gin","15","2","3","2","0","2","2","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","2","0","up","","verified","image_old","https://www.diffordsguide.com/cocktails/recipe/1440/orange-blossom","https://www.diffordsguide.com/cocktails/recipe/1440/orange-blossom","디포즈 가이드 반영"
"379","오사카 사워","Osaka Sour","보통","13","15","스탠다드","위스키","","록스","사계절","재패니즈 위스키 30ml (1 oz), 사케 30ml (1 oz), 유자 주스 30ml (1 oz), 계란 흰자 1개분","","달콤, 상큼, 묵직한, 시트러스","식사와 함께","4","1. 셰이커에 재패니즈 위스키 30ml (1 oz), 사케 30ml (1 oz), 유자 주스 30ml (1 oz), 계란 흰자 1개분을 넣고 얼음 없이 10초간 드라이 셰이킹한다. / 2. 얼음을 넣고 15초간 다시 강하게 셰이킹한다. / 3. 큰 얼음을 넣은 록스에 걸러 따른다. / 4. 레몬 필로 가니시한다.","AUTO","0","0","0","사워 구조로 잡은 onz 오리지널 칵테일.
재패니즈 위스키, 사케, 유자 주스를 써서 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Osaka_Sour.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","whiskey|sake","14","1","3","4","0","2","3","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","3","1","2","0","rocks","egg","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"380","팟타이 칵테일","Pad Thai Cocktail","보통","14","16","스탠다드","럼","","록스","가을","럼 45ml (1½ oz), 타마린드 퓌레 30ml (1 oz), 라임 주스 20ml (⅔ oz), 팜슈거 15ml (½ oz), 칠리 2~3조각","","달콤, 상큼, 묵직한, 시트러스, 스파이시","식사와 함께","4","1. 셰이커(또는 믹싱 글라스)에 칠리 2~3조각을 넣고 가볍게 으깬다. / 2. 셰이커에 얼음과 럼 45ml (1½ oz), 타마린드 퓌레 30ml (1 oz), 라임 주스 20ml (⅔ oz), 팜슈거 15ml (½ oz)를 넣고 15초간 강하게 셰이킹한다. / 3. 큰 얼음을 넣은 록스에 더블 스트레이닝하여 따른다. / 4. 라임 휠로 가니시한다.","AUTO","0","0","0","시트러스를 앞세워 구성한 onz 오리지널 칵테일.
럼, 타마린드 퓌레, 라임 주스를 써서 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Pad_Thai_Cocktail.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","rum","15","2","3","4","1","2","3","0","4","2","0","0","0","0","0","3","0","0","0","0","0","2","0","3","0","0","0","0","0","2","1","3","0","rocks","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"381","파카르디","Pakardi","보통","17","19","스탠다드","럼","","쿠페","여름","화이트 럼 45ml (1½ oz), 라임 주스 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 설탕 1 tsp","","달콤, 상큼, 묵직한, 시트러스","상쾌한","3","1. 셰이커에 얼음과 화이트 럼 45ml (1½ oz), 라임 주스 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 설탕 1 tsp를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다. / 3. 라임 휠로 가니시한다.","AUTO","0","0","0","시트러스를 앞세워 구성한 onz 오리지널 칵테일.
화이트 럼, 라임 주스, 레몬 주스를 써서 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Pakardi.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","rum","18","2","3","3","0","2","3","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","1","1","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"382","팔린카 칵테일","Palinka","강함","19","21","스탠다드","브랜디","","쿠페","가을","팔린카(과일 브랜디) 45ml (1½ oz), 레몬 주스 20ml (⅔ oz), 꿀 15ml (½ oz)","","달콤, 강한, 과일향","식전","2","1. 셰이커에 얼음과 팔린카(과일 브랜디) 45ml (1½ oz), 레몬 주스 20ml (⅔ oz), 꿀 15ml (½ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다.","AUTO","0","0","0","과수원 과일 향을 살려 구성한 onz 오리지널 칵테일.
팔린카(과일 브랜디), 레몬 주스, 꿀를 써서 은은한 단맛이 살아 있는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Palinka.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy","20","2","3","2","0","3","2","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","1","2","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"383","팔로마 로사다","Paloma Rosada","보통","10","12","스탠다드","테킬라","","하이볼","여름","테킬라 45ml (1½ oz), 자몽 주스 90ml (3 oz), 라임 주스 20ml (⅔ oz), 로즈 시럽 15ml (½ oz), 탄산수 적당량(약 90ml)","","달콤, 상큼, 탄산, 시트러스","상쾌한, 파티","4","1. 하이볼에 얼음을 채운다. / 2. 테킬라 45ml (1½ oz), 자몽 주스 90ml (3 oz), 라임 주스 20ml (⅔ oz), 로즈 시럽 15ml (½ oz)를 붓는다. / 3. 탄산수 적당량(약 90ml)로 채우고 바 스푼으로 가볍게 한 번 젓는다. / 4. 라임 휠로 가니시한다.","AUTO","0","0","0","시트러스를 앞세워 구성한 onz 오리지널 칵테일.
테킬라, 자몽 주스, 라임 주스를 써서 톡 쏘는 탄산, 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Paloma_Rosada.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","tequila","11","1","3","3","1","1","1","4","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","4","2","2","0","long","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"384","파리 나이트","Paris Night","보통","14","16","스탠다드","보드카","","록스","봄","보드카 45ml (1½ oz), 블루 큐라소 15ml (½ oz), 크렘 드 카시스 15ml (½ oz), 레몬 주스 20ml (⅔ oz), 탄산수 적당량(약 90ml)","","달콤, 상큼, 탄산, 베리, 시트러스","파티","4","1. 셰이커에 얼음과 보드카 45ml (1½ oz), 블루 큐라소 15ml (½ oz), 크렘 드 카시스 15ml (½ oz), 레몬 주스 20ml (⅔ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 큰 얼음을 넣은 록스에 걸러 따른다. / 3. 탄산수 적당량(약 90ml)로 채운다. / 4. 레몬 필로 가니시한다.","AUTO","0","0","0","파리의 밤 분위기를 담은 onz 오리지널 칵테일.
보드카, 블루 큐라소, 크렘 드 카시스를 써서 톡 쏘는 탄산, 진한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Paris_Night.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","15","2","4","3","0","2","2","4","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","1","1","0","rocks","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"385","파리지앵","Parisien","강함","21","23","스탠다드","진","","쿠페","봄","진 30ml (1 oz), 드라이 베르무트 30ml (1 oz), 크렘 드 카시스 30ml (1 oz)","","달콤, 강한, 묵직한, 베리, 허브","식전","4","1. 믹싱 글라스에 얼음과 진 30ml (1 oz), 드라이 베르무트 30ml (1 oz), 크렘 드 카시스 30ml (1 oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 차갑게 식힌 쿠페에 걸러 따른다. / 4. 레몬 필로 가니시한다.","AUTO","0","0","0","1920년대 크렘 드 카시스를 홍보하려고 만든 칵테일로, 1930년 해리 크래덕의 『사보이 칵테일 북』에 식전주 스타일 레시피로 실림.
진·드라이 베르무트·크렘 드 카시스를 같은 양으로 섞음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Parisien.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","gin|fortified|liqueur","22","2","3","1","1","3","3","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","1","3","0","up","","verified","image_old","https://www.diffordsguide.com/cocktails/recipe/1470/parisian-cocktail","https://www.diffordsguide.com/cocktails/recipe/1470/parisian-cocktail","디포즈 가이드 반영"
"386","파리지앵 골드","Parisien Gold","보통","17","19","스탠다드","브랜디","","록스","사계절","코냑 45ml (1½ oz), 엘더플라워 리큐르 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 탄산수 적당량(약 90ml)","","달콤, 상큼, 탄산, 시트러스","식전, 파티","4","1. 셰이커에 얼음과 코냑 45ml (1½ oz), 엘더플라워 리큐르 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 큰 얼음을 넣은 록스에 걸러 따른다. / 3. 탄산수 적당량(약 90ml)로 채운다. / 4. 레몬 필로 가니시한다.","AUTO","0","0","0","시트러스를 앞세워 구성한 onz 오리지널 칵테일.
코냑, 엘더플라워 리큐르, 레몬 주스를 써서 톡 쏘는 탄산, 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Parisien_Gold.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy|liqueur","18","2","3","3","0","2","2","4","4","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","3","1","1","0","rocks","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"387","패션프루트 레모네이드","Passionfruit Lemonade","약함","-1","1","라이트","무알코올","","콜린스","여름","패션프루트 퓌레 45ml (1½ oz), 레몬 주스 30ml (1 oz), 리치 설탕 시럽 22.5ml (¾ oz), 탄산수 105ml (3½ oz)","","달콤, 상큼, 탄산, 열대과일, 시트러스","상쾌한, 브런치","4","1. 셰이커에 얼음과 패션프루트 퓌레 45ml (1½ oz), 레몬 주스 30ml (1 oz), 리치 설탕 시럽 22.5ml (¾ oz), 탄산수 105ml (3½ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 콜린스 잔에 걸러 따른다. / 3. 남은 탄산 재료로 채운다. / 4. 패션프루트 반쪽로 가니시한다.","MANUAL","0","0","0","영국식 레모네이드에 패션프루트를 더한 무알코올 음료다. 기본형인 리얼 레모네이드는 갓 짠 레몬과 설탕 시럽으로만 만든다. 패션프루트의 새콤한 향이 레몬과 겹쳐 산미가 한층 도드라진다.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Passionfruit_Lemonade.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_collins.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","none","0","0","4","4","0","1","1","4","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","5","3","1","0","long","","verified","image_old","https://www.diffordsguide.com/cocktails/recipe/1650/real-lemonade","https://www.diffordsguide.com/cocktails/recipe/1650/real-lemonade","디포즈 가이드 반영"
"388","파타고니아 선셋","Patagonia Sunset","보통","12","14","스탠다드","피스코","","쿠페","여름","피스코 45ml (1½ oz), 오렌지 주스 30ml (1 oz), 라임 주스 20ml (⅔ oz), 그레나딘 10ml (⅓ oz)","","달콤, 상큼, 시트러스, 베리","상쾌한, 파티","3","1. 셰이커에 얼음과 피스코 45ml (1½ oz), 오렌지 주스 30ml (1 oz), 라임 주스 20ml (⅔ oz), 그레나딘 10ml (⅓ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다. / 3. 라임 휠로 가니시한다.","AUTO","0","0","0","파타고니아의 노을빛을 그러데이션으로 표현한 onz 오리지널 칵테일.
피스코, 오렌지 주스, 라임 주스를 써서 진한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Patagonia_Sunset.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","pisco","13","1","4","3","0","1","2","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","4","1","1","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"389","피치 멜바","Peach Melba","보통","14","16","스탠다드","보드카","","마티니","가을","바닐라 보드카 45ml (1½ oz), 피치 슈냅스 22.5ml (¾ oz), 블랙 라즈베리 리큐르 22.5ml (¾ oz), 휘핑크림 45ml (1½ oz)","","달콤, 묵직한, 과일향, 베리, 크리미","디저트","3","1. 셰이커에 얼음과 바닐라 보드카 45ml (1½ oz), 피치 슈냅스 22.5ml (¾ oz), 블랙 라즈베리 리큐르 22.5ml (¾ oz), 휘핑크림 45ml (1½ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 마티니 잔에 걸러 따른다. / 3. 아몬드 슬라이스로 가니시한다.","MANUAL","0","0","0","1892~93년 런던 사보이 호텔의 셰프 오귀스트 에스코피에가 호주의 소프라노 넬리 멜바를 위해 만든 디저트 '피치 멜바'를 칵테일로 옮긴 것.
복숭아와 라즈베리, 바닐라 크림의 조합을 그대로 살림. 칵테일 버전의 창시자 기록은 없음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Peach_Melba.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_martini.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","15","2","5","1","0","2","4","0","0","0","3","4","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","4","2","1","0","up","dairy","verified","image_old","https://en.wikipedia.org/wiki/Peach_Melba","https://www.diffordsguide.com/cocktails/recipe/1492/peach-melba-cocktail","디포즈 가이드 반영"
"390","피치 소주 피즈","Peach Soju Fizz","약함","7","9","라이트","소주","","하이볼","여름","소주 45ml (1½ oz), 복숭아 퓌레 90ml (3 oz), 레몬 주스 20ml (⅔ oz), 탄산수 적당량(약 90ml)","","달콤, 탄산, 과일향","파티, 상쾌한","3","1. 하이볼에 얼음을 채운다. / 2. 소주 45ml (1½ oz), 복숭아 퓌레 90ml (3 oz), 레몬 주스 20ml (⅔ oz)를 붓는다. / 3. 탄산수 적당량(약 90ml)로 채우고 바 스푼으로 가볍게 한 번 젓는다.","AUTO","0","0","0","소주에 과일·탄산 등을 섞은 현대식 소주 칵테일. 개별 창시자 기록은 없음.
소주는 13세기 고려 시대 몽골을 통해 증류 기술이 들어오며 시작되었고, 최근 과일 소주 등 섞어 마시는 방식이 젊은 층에서 인기.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Peach_Soju_Fizz.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","soju","8","1","4","2","0","0","1","4","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","5","3","1","0","long","","verified","image_old","https://en.wikipedia.org/wiki/Soju","","디포즈 미수록 (onz 오리지널)"
"391","페구 클럽","Pegu Club","강함","20","22","스트롱","진","","쿠페","사계절","진 45ml (1½ oz), 드라이 큐라소 10ml (⅓ oz), 라임 주스 5ml (⅙ oz), 라임 코디얼 5ml (⅙ oz), 리치 설탕 시럽 5ml (⅙ oz), 찬물 7.5ml (¼ oz), 앙고스투라 비터스 1 dash, 오렌지 비터스 1 dash","","상큼, 강한, 묵직한, 시트러스, 허브","식전","3","1. 셰이커에 얼음과 진 45ml (1½ oz), 드라이 큐라소 10ml (⅓ oz), 라임 주스 5ml (⅙ oz), 라임 코디얼 5ml (⅙ oz), 리치 설탕 시럽 5ml (⅙ oz), 찬물 7.5ml (¼ oz), 앙고스투라 비터스 1 dash, 오렌지 비터스 1 dash를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페 잔에 걸러 따른다. / 3. 라임 웨지로 가니시한다.","MANUAL","0","0","0","1920년대 영국 식민지 시절 버마 랑군에 있던 외국인 사교 클럽 '페구 클럽'에서 만들어졌다. 해리 크래독이 1930년 '사보이 칵테일 북'에 실으며 ""페구 클럽에서 가장 사랑받는 칵테일이자 세계 곳곳에서 찾는 술""이라고 소개해 널리 퍼졌다. 진의 뼈대에 라임과 오렌지 큐라소가 얹히는 상쾌한 식전주다.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Pegu_Club.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","gin|liqueur","21","2","2","4","1","3","3","0","5","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","2","5","0","up","","verified","image_old","https://www.diffordsguide.com/cocktails/recipe/2728/pegu-club-cocktail-diffords-recipe","https://www.diffordsguide.com/cocktails/recipe/2728/pegu-club-cocktail-diffords-recipe","디포즈 가이드 반영"
"392","퍼펙트 맨해튼","Perfect Manhattan","강함","28","30","스트롱","위스키","","쿠페","가을","버번 60ml (2 oz), 스위트 베르무트 12.5ml (5/12 oz), 드라이 베르무트 12.5ml (5/12 oz), 아로마틱 비터스 2 dashes","","쌉싸름, 강한, 묵직한, 오크·캐러멜, 허브","천천히 음미","4","1. 믹싱 글라스에 얼음과 버번 60ml (2 oz), 스위트 베르무트 12.5ml (5/12 oz), 드라이 베르무트 12.5ml (5/12 oz), 아로마틱 비터스 2 dashes를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 차갑게 식힌 쿠페 잔에 걸러 따른다. / 4. 오렌지 필, 마라스키노 체리로 가니시한다.","MANUAL","0","0","0","맨해튼의 스위트 베르무트를 스위트·드라이 베르무트 같은 양으로 나눠 넣은 변형.
맨해튼이라는 이름의 칵테일은 1860년대부터 기록이 있고, 1884년 바텐더 안내서에 레시피가 실림.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Perfect_Manhattan.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","whiskey|fortified","29","3","2","0","3","5","4","0","0","0","0","0","3","0","0","0","0","0","5","0","0","0","0","0","0","0","0","3","0","1","3","4","0","up","","verified","image_old","https://en.wikipedia.org/wiki/Manhattan_(cocktail)","https://www.diffordsguide.com/cocktails/recipe/1246/manhattan-perfect","디포즈 가이드 반영"
